iter	MultiClass
0	1.786613717
1	1.676429288
2	1.571177352
3	1.48538487
4	1.409992797
5	1.356578911
6	1.29707452
7	1.249286755
8	1.202718119
9	1.160599304
10	1.124066345
11	1.089578394
12	1.059320963
13	1.024217818
14	0.9962168498
15	0.9652189077
16	0.9416427524
17	0.9197954177
18	0.8975039297
19	0.8773609346
20	0.8603615303
21	0.8456507449
22	0.8283641076
23	0.8105082384
24	0.7960088496
25	0.7836080646
26	0.7707668365
27	0.7553414888
28	0.7437485074
29	0.7325487263
30	0.720969267
31	0.71026634
32	0.6990814966
33	0.6895478182
34	0.6799063321
35	0.6713050882
36	0.6621011736
37	0.6556495633
38	0.6505571821
39	0.6425430564
40	0.6352462194
41	0.6286192086
42	0.6237066706
43	0.6164438254
44	0.6105416512
45	0.6045562796
46	0.6001430601
47	0.593881592
48	0.5888350818
49	0.5847698028
50	0.5797398298
51	0.5738753682
52	0.5715643228
53	0.5674064048
54	0.5632812108
55	0.5597333971
56	0.55627456
57	0.5519671341
58	0.5483769944
59	0.5443296071
60	0.5407754158
61	0.5372300018
62	0.532683581
63	0.5304178541
64	0.5260931151
65	0.5236009408
66	0.521520725
67	0.5183645403
68	0.5141662101
69	0.511099201
70	0.5082509782
71	0.5066332742
72	0.5041444337
73	0.5019358687
74	0.4994451108
75	0.4974419314
76	0.494982039
77	0.4937048391
78	0.4896658669
79	0.4865020694
80	0.4838542941
81	0.4815878506
82	0.4788284144
83	0.4770404162
84	0.4745922366
85	0.4730183617
86	0.4712663793
87	0.4693924083
88	0.4680026566
89	0.4668571809
90	0.4651323273
91	0.4630926282
92	0.4612730017
93	0.460026904
94	0.4581066601
95	0.4560775148
96	0.454688681
97	0.4534519885
98	0.4518420861
99	0.450210247
100	0.4496965677
101	0.4484955197
102	0.4472686137
103	0.4451395462
104	0.4436059247
105	0.44247712
106	0.4409279065
107	0.4402016545
108	0.438788179
109	0.4366084686
110	0.4356726623
111	0.4344350083
112	0.4333282496
113	0.4318439738
114	0.4315821388
115	0.4305616337
116	0.4279390296
117	0.4267804889
118	0.426525338
119	0.4252776033
120	0.4237777466
121	0.4229355967
122	0.4221088095
123	0.4210013449
124	0.4199316971
125	0.4190852735
126	0.4181898079
127	0.4171503511
128	0.4154163632
129	0.4135419966
130	0.4121106954
131	0.4109127526
132	0.4098457702
133	0.4092640303
134	0.4078564845
135	0.4070303992
136	0.4060534958
137	0.4050875688
138	0.404454641
139	0.4036842628
140	0.4035124257
141	0.4027495148
142	0.4023922713
143	0.4014666084
144	0.4006063117
145	0.399492121
146	0.3985087289
147	0.3972624407
148	0.3962836088
149	0.3956090187
150	0.3947342994
151	0.3939283035
152	0.3933305717
153	0.3924391694
154	0.3913040787
155	0.3906235558
156	0.3900576352
157	0.3894710435
158	0.3884325006
159	0.387973457
160	0.386636467
161	0.3851044821
162	0.3843040467
163	0.3834410268
164	0.3827048511
165	0.382102535
166	0.3815166899
167	0.3810253291
168	0.3806252876
169	0.3798237218
170	0.3794557366
171	0.3791065378
172	0.378438727
173	0.3776768516
174	0.3771744465
175	0.3757737021
176	0.3753637485
177	0.3749884428
178	0.3742529561
179	0.3734437011
180	0.3733878379
181	0.372249324
182	0.371451411
183	0.3705358912
184	0.3700458804
185	0.3692971174
186	0.3685953187
187	0.3680474211
188	0.3675604
189	0.3666237847
190	0.3656280113
191	0.3652536952
192	0.3645443442
193	0.3643229212
194	0.3636776475
195	0.3632571375
196	0.3624427566
197	0.361737995
198	0.3614912914
199	0.360744498
200	0.3603418466
201	0.3600660396
202	0.3595537157
203	0.3588543948
204	0.3580373966
205	0.357235263
206	0.3571488476
207	0.3565351484
208	0.3557367724
209	0.3554928926
210	0.3549041401
211	0.3544925714
212	0.3536342252
213	0.3535258939
214	0.3531341191
215	0.3525724737
216	0.3522395514
217	0.3516654439
218	0.3512548926
219	0.350695009
220	0.3504264359
221	0.3494188649
222	0.3492043431
223	0.3487536954
224	0.3485125532
225	0.3481358721
226	0.3474541877
227	0.3471339096
228	0.3467269305
229	0.3460303993
230	0.3457513635
231	0.3452483786
232	0.3447932191
233	0.3438397256
234	0.3433745333
235	0.3428030271
236	0.3421084843
237	0.341590526
238	0.3408565522
239	0.3400568659
240	0.3396659489
241	0.3388662957
242	0.3388660554
243	0.3384066855
244	0.3380642181
245	0.3377991121
246	0.3374881251
247	0.3371295798
248	0.336738702
249	0.3363234073
250	0.3360132588
251	0.335613488
252	0.3352834589
253	0.3348057353
254	0.3345231654
255	0.3339339284
256	0.3336829772
257	0.3334025484
258	0.3331116313
259	0.3328044441
260	0.3324570479
261	0.3321048586
262	0.3315441348
263	0.3311782263
264	0.3308016479
265	0.3295679727
266	0.329074606
267	0.3286671136
268	0.3283664704
269	0.3279804443
270	0.3272676215
271	0.3268895771
272	0.3264187584
273	0.3257135594
274	0.3253359328
275	0.3249256434
276	0.3246580325
277	0.3242002777
278	0.3237537627
279	0.3230704204
280	0.322427539
281	0.3222517519
282	0.321727953
283	0.3214817208
284	0.3212304131
285	0.3207649338
286	0.3205756648
287	0.3202821493
288	0.3195608975
289	0.3189831951
290	0.3186775492
291	0.3183952002
292	0.318002278
293	0.3179775219
294	0.317704611
295	0.3173439196
296	0.3170052855
297	0.3168588273
298	0.3166317067
299	0.3160734335
300	0.315883906
301	0.3154659602
302	0.3148518521
303	0.3144226924
304	0.3141692585
305	0.3137117394
306	0.3135353305
307	0.3133483119
308	0.313155798
309	0.3127230773
310	0.312358763
311	0.3121040465
312	0.3118291209
313	0.3115181555
314	0.3112107604
315	0.3106647502
316	0.3102473258
317	0.3096963301
318	0.3092100855
319	0.3089612767
320	0.3086695418
321	0.3083671988
322	0.3081284676
323	0.3077939433
324	0.3075064386
325	0.3072796391
326	0.3069557658
327	0.3066878664
328	0.3062906262
329	0.3060021861
330	0.305642222
331	0.3050891656
332	0.3047531118
333	0.3044657581
334	0.3040746331
335	0.3036208873
336	0.3034445179
337	0.3032575796
338	0.3031283294
339	0.3029616057
340	0.3025647627
341	0.3023744411
342	0.3021378386
343	0.3019240714
344	0.3015476631
345	0.3010203642
346	0.3008192778
347	0.3005412757
348	0.3002690793
349	0.3001703104
350	0.2997446708
351	0.2994870127
352	0.2993027349
353	0.2991248511
354	0.2988810366
355	0.2985573637
356	0.298415893
357	0.298037455
358	0.2977843721
359	0.2974126508
360	0.2972210934
361	0.2969335395
362	0.2967993924
363	0.2965506338
364	0.2962206657
365	0.295896553
366	0.2955735251
367	0.2952730126
368	0.2950342551
369	0.2948482848
370	0.2946309163
371	0.294245436
372	0.294055075
373	0.2936453274
374	0.2933806381
375	0.2931870069
376	0.2930667671
377	0.2927458562
378	0.2925582288
379	0.2923089878
380	0.2921156979
381	0.2919593325
382	0.2918217856
383	0.2915477025
384	0.2914103467
385	0.2909977242
386	0.2908718342
387	0.290635694
388	0.2904852795
389	0.2902576692
390	0.2899996563
391	0.2896274991
392	0.2894211638
393	0.2892878744
394	0.2887682964
395	0.2886292549
396	0.2885174898
397	0.2883516187
398	0.2881979348
399	0.2879525392
400	0.2875162655
401	0.2874062787
402	0.2870338997
403	0.2868856727
404	0.2867239134
405	0.2865697596
406	0.286312039
407	0.2861352844
408	0.28598974
409	0.2856870973
410	0.2855950446
411	0.2852201046
412	0.2849796437
413	0.2848127894
414	0.2846602452
415	0.2844600934
416	0.2843093283
417	0.2841019157
418	0.2837408506
419	0.2836044746
420	0.2832756481
421	0.2830635175
422	0.2828482943
423	0.2825152618
424	0.2821676605
425	0.282001924
426	0.2818422308
427	0.2817050761
428	0.2813343275
429	0.2811149785
430	0.2809675088
431	0.2808477745
432	0.2805690084
433	0.2802527638
434	0.2797843266
435	0.2795307232
436	0.2793621957
437	0.2791652862
438	0.2790101001
439	0.2788264455
440	0.2787105939
441	0.2786011127
442	0.2783949716
443	0.2782099102
444	0.2779679763
445	0.2777730734
446	0.2777213873
447	0.2776316667
448	0.2774500351
449	0.277324916
450	0.2769024822
451	0.2767703298
452	0.2765886882
453	0.2762681908
454	0.2760571526
455	0.2758159948
456	0.2756758137
457	0.2755570608
458	0.2753907908
459	0.2751206312
460	0.2746853707
461	0.2744584258
462	0.2743079422
463	0.2740168545
464	0.2739086709
465	0.2735947677
466	0.2734538614
467	0.2732983499
468	0.2730888899
469	0.2727629671
470	0.2726058386
471	0.2724478959
472	0.2723409296
473	0.2721767281
474	0.2718874469
475	0.2715790423
476	0.2714909492
477	0.2713795563
478	0.2712329448
479	0.2711590201
480	0.270804443
481	0.270592565
482	0.2702337597
483	0.2700622669
484	0.2697734192
485	0.2696368015
486	0.2695048273
487	0.2693576154
488	0.2690260686
489	0.2688450863
490	0.2686941805
491	0.2685749731
492	0.2682504702
493	0.2680277212
494	0.2677003625
495	0.26762595
496	0.2674809727
497	0.2672214567
498	0.2669221687
499	0.266878877
500	0.266705327
501	0.2666338059
502	0.2664194504
503	0.2661536772
504	0.2659308237
505	0.2658189601
506	0.2656080122
507	0.2653582961
508	0.2651287099
509	0.2648035468
510	0.264658119
511	0.2643820187
512	0.263902499
513	0.263802544
514	0.2635744332
515	0.263517166
516	0.2633832697
517	0.2631911397
518	0.2630559514
519	0.2629411316
520	0.262783072
521	0.2623374613
522	0.262141422
523	0.261910456
524	0.261814733
525	0.2617141159
526	0.2614796707
527	0.2612345268
528	0.2611130948
529	0.2610603659
530	0.2609213711
531	0.2607314611
532	0.2604214339
533	0.2600773625
534	0.2599039857
535	0.2596843968
536	0.2595374503
537	0.2593298123
538	0.259215206
539	0.2590591048
540	0.2587900503
541	0.2585219858
542	0.2583827553
543	0.2582274069
544	0.2578376694
545	0.2577913704
546	0.2576170497
547	0.2574833206
548	0.2573486261
549	0.257153797
550	0.2570087496
551	0.2568813557
552	0.2567455111
553	0.2565935254
554	0.2564397401
555	0.2561807637
556	0.2559116741
557	0.2557078305
558	0.2554976531
559	0.2553780375
560	0.2552335272
561	0.255077338
562	0.2549766375
563	0.2548444691
564	0.2547479093
565	0.2544650777
566	0.2543290582
567	0.2540873371
568	0.2539545229
569	0.2537649155
570	0.2535178115
571	0.2533590749
572	0.253153174
573	0.2530401787
574	0.2528679012
575	0.2527596388
576	0.2525859243
577	0.2524715117
578	0.2521606327
579	0.2520541884
580	0.2519412656
581	0.2517702564
582	0.2516596814
583	0.2514942978
584	0.2514237631
585	0.2513042686
586	0.251058678
587	0.2509144146
588	0.2507222291
589	0.2505912026
590	0.250406779
591	0.2502816667
592	0.2501159494
593	0.2498577308
594	0.2497963012
595	0.2497894277
596	0.2496869904
597	0.2495170008
598	0.2493861088
599	0.2493073769
600	0.2491457233
601	0.2490006339
602	0.2488910096
603	0.2487296562
604	0.2486133446
605	0.2484299177
606	0.2483165985
607	0.2482018688
608	0.2481249854
609	0.2479825604
610	0.2478733291
611	0.2477277064
612	0.2475959574
613	0.2474825947
614	0.2472826374
615	0.2471663447
616	0.247049536
617	0.2469208566
618	0.2468228117
619	0.2467107228
620	0.2467009091
621	0.2464800786
622	0.2463298278
623	0.2462346034
624	0.2461529065
625	0.2460181348
626	0.2459310043
627	0.2457864426
628	0.2456874584
629	0.2455614883
630	0.2454304593
631	0.2452385734
632	0.2451671615
633	0.2449944524
634	0.2447722116
635	0.2445364313
636	0.2445006186
637	0.2444265411
638	0.2442338926
639	0.244180105
640	0.2440756745
641	0.2440060524
642	0.2438727809
643	0.2437576935
644	0.243652792
645	0.2435676899
646	0.2433894229
647	0.2432820292
648	0.2431841955
649	0.2430976934
650	0.2428581391
651	0.2427490002
652	0.2426582907
653	0.2425592623
654	0.2422488606
655	0.2421743033
656	0.2420795878
657	0.2419385339
658	0.2417435636
659	0.2416363057
660	0.2415296136
661	0.2413407206
662	0.2412806661
663	0.24122069
664	0.2411448352
665	0.2409956267
666	0.2409475671
667	0.2408781675
668	0.2408139884
669	0.240721883
670	0.2405314979
671	0.2404158296
672	0.2402374668
673	0.2400654944
674	0.2399587568
675	0.2398666401
676	0.2397386133
677	0.2396426805
678	0.2395622606
679	0.2394378105
680	0.2392921644
681	0.2392338183
682	0.2391036343
683	0.2390056775
684	0.2389025101
685	0.2387849866
686	0.2386752879
687	0.2385658547
688	0.2384470911
689	0.2383416946
690	0.2382568153
691	0.2382019125
692	0.2381045213
693	0.2379793168
694	0.2379167568
695	0.2377938715
696	0.2377230326
697	0.2376567316
698	0.2374903215
699	0.2374088423
700	0.23720149
701	0.2370091785
702	0.2368743418
703	0.2367662923
704	0.2366236527
705	0.2365731193
706	0.2364870489
707	0.2363394639
708	0.236279723
709	0.2361915561
710	0.2359959678
711	0.2359071038
712	0.235812798
713	0.2356214506
714	0.2355370584
715	0.2354809263
716	0.2353937558
717	0.2353448656
718	0.2351949353
719	0.2350861965
720	0.2349217383
721	0.2348654209
722	0.234779834
723	0.2346665805
724	0.2346326639
725	0.2345089782
726	0.2344253133
727	0.2342828801
728	0.2342038524
729	0.2340981417
730	0.2340198195
731	0.2338817993
732	0.2338539498
733	0.233779156
734	0.233679887
735	0.2335901378
736	0.233533024
737	0.2334712711
738	0.2333822658
739	0.2333284539
740	0.2332149565
741	0.2331201667
742	0.2329397348
743	0.2328882717
744	0.2327961511
745	0.2326894328
746	0.232558361
747	0.2324804428
748	0.2324164465
749	0.2321902687
750	0.2319718214
751	0.2318342897
752	0.2317437159
753	0.2315815978
754	0.2315375923
755	0.2314602075
756	0.2313935755
757	0.2312618378
758	0.2312081848
759	0.2311559876
760	0.231020817
761	0.2308218473
762	0.2307146412
763	0.2306381206
764	0.2304472061
765	0.2303637449
766	0.2303114785
767	0.2301176781
768	0.2300292672
769	0.2299743837
770	0.2298826848
771	0.2298150154
772	0.2296883977
773	0.2295855365
774	0.2295182933
775	0.229489322
776	0.2293406654
777	0.2292118726
778	0.2291201254
779	0.2289896259
780	0.2289018245
781	0.2288783498
782	0.2287272859
783	0.2286630997
784	0.2286140693
785	0.2285515211
786	0.2284726159
787	0.2283923941
788	0.2282976105
789	0.2282603103
790	0.2282024911
791	0.2281189899
792	0.2280253885
793	0.2279415304
794	0.2278500734
795	0.2276900049
796	0.2276441292
797	0.2275392579
798	0.2273823914
799	0.2272174145
800	0.2271453435
801	0.2270519527
802	0.2269450894
803	0.2268447223
804	0.2267805597
805	0.2266061451
806	0.2265164867
807	0.2263540291
808	0.2263185581
809	0.2262510653
810	0.2260816329
811	0.2259496238
812	0.2259055591
813	0.2258664766
814	0.2258076061
815	0.2256902111
816	0.2255576842
817	0.2254190046
818	0.2253354239
819	0.2252190591
820	0.2251576436
821	0.2250270982
822	0.2248828755
823	0.2247481555
824	0.2245750951
825	0.2244820816
826	0.2244188629
827	0.224394646
828	0.2242686727
829	0.2242084042
830	0.2241484915
831	0.224041777
832	0.2238477849
833	0.2237247504
834	0.2236579652
835	0.2235539946
836	0.2234442414
837	0.2233306394
838	0.2232245927
839	0.2231272191
840	0.2230554109
841	0.2230233667
842	0.2229500049
843	0.2228754754
844	0.2227694649
845	0.22267908
846	0.2225700789
847	0.2224827367
848	0.2224297683
849	0.2223701421
850	0.2222808662
851	0.2222109655
852	0.2221297758
853	0.2220556115
854	0.2219104743
855	0.2218353142
856	0.2217299284
857	0.22167663
858	0.2215873997
859	0.2214913826
860	0.2214088475
861	0.2213567049
862	0.221301474
863	0.2212655115
864	0.2212108145
865	0.2211703173
866	0.2210647877
867	0.2208175573
868	0.2207004782
869	0.2206249604
870	0.2205323456
871	0.2204440607
872	0.2203005808
873	0.2202315732
874	0.220114802
875	0.2200271149
876	0.2198874923
877	0.2198192713
878	0.2196897487
879	0.2196056593
880	0.219558952
881	0.2193973744
882	0.2193183829
883	0.2192228673
884	0.2190538994
885	0.2189635047
886	0.218891885
887	0.218853509
888	0.2187559793
889	0.2186473561
890	0.2185638177
891	0.218536266
892	0.2184271283
893	0.218345749
894	0.2182421258
895	0.2181654801
896	0.2180675121
897	0.2179960476
898	0.2178447327
899	0.2177494211
900	0.2175480019
901	0.2175030004
902	0.2174458125
903	0.217391258
904	0.2173370361
905	0.2172538038
906	0.2172039008
907	0.2171102578
908	0.2170511843
909	0.2170021285
910	0.2169394848
911	0.2168799199
912	0.2168028911
913	0.2167004882
914	0.2165583322
915	0.2164108932
916	0.2162776957
917	0.216217639
918	0.2161626281
919	0.2161253868
920	0.216075348
921	0.2159303607
922	0.2158389269
923	0.2157820096
924	0.2156109071
925	0.215500952
926	0.2153968709
927	0.2153226522
928	0.2151781524
929	0.2151177324
930	0.2150290374
931	0.2149600787
932	0.2148725664
933	0.2147323434
934	0.2146294174
935	0.2145464571
936	0.2144573111
937	0.2144084216
938	0.2143240236
939	0.2142629093
940	0.2141125787
941	0.2140192574
942	0.2139201952
943	0.21385148
944	0.2137501255
945	0.2136850397
946	0.2136376931
947	0.213582331
948	0.2135083932
949	0.2134555358
950	0.2134095753
951	0.2132822528
952	0.2132201824
953	0.2131924388
954	0.2131241486
955	0.2130736203
956	0.2130294048
957	0.212941256
958	0.2128750652
959	0.2128107535
960	0.2127131456
961	0.2126236687
962	0.2125165213
963	0.2124710042
964	0.212310174
965	0.212219937
966	0.2121345962
967	0.2120786876
968	0.2120103881
969	0.2119222285
970	0.2117624586
971	0.211628228
972	0.2115202008
973	0.2114530724
974	0.2113241244
975	0.2112578158
976	0.2111830908
977	0.2111449782
978	0.2110882501
979	0.2110225485
980	0.2109604158
981	0.2109365787
982	0.2108410313
983	0.2108023759
984	0.2107057817
985	0.2106232342
986	0.2105487423
987	0.2104158993
988	0.2102154675
989	0.2101236925
990	0.210009188
991	0.2099058471
992	0.2097822597
993	0.2096734017
994	0.2095870363
995	0.209502564
996	0.2094474973
997	0.2093437952
998	0.2092872011
999	0.2092036383
