iter	Passed	Remaining
0	15	15123
1	24	12222
2	34	11303
3	44	11113
4	54	10812
5	62	10401
6	71	10142
7	81	10063
8	90	9975
9	99	9830
10	107	9706
11	118	9734
12	127	9670
13	136	9639
14	146	9593
15	156	9618
16	165	9589
17	175	9566
18	184	9549
19	194	9550
20	205	9587
21	214	9550
22	225	9559
23	234	9556
24	242	9464
25	251	9435
26	260	9375
27	270	9395
28	280	9391
29	289	9364
30	299	9374
31	309	9362
32	319	9354
33	328	9341
34	336	9287
35	346	9268
36	355	9264
37	365	9263
38	374	9239
39	383	9203
40	392	9183
41	401	9167
42	410	9138
43	419	9114
44	428	9084
45	437	9069
46	447	9075
47	456	9048
48	465	9042
49	473	9001
50	483	8998
51	492	8973
52	499	8928
53	508	8913
54	517	8887
55	524	8840
56	533	8824
57	543	8820
58	552	8808
59	562	8806
60	572	8806
61	581	8792
62	591	8790
63	600	8782
64	609	8765
65	618	8745
66	627	8739
67	635	8716
68	644	8699
69	654	8696
70	663	8675
71	672	8672
72	681	8660
73	691	8659
74	701	8653
75	710	8634
76	719	8619
77	728	8609
78	736	8586
79	745	8577
80	755	8569
81	765	8568
82	774	8558
83	784	8558
84	793	8541
85	803	8544
86	813	8538
87	823	8533
88	833	8526
89	841	8509
90	852	8510
91	860	8492
92	870	8488
93	880	8491
94	890	8484
95	898	8460
96	908	8456
97	918	8450
98	926	8433
99	935	8420
100	941	8384
101	950	8366
102	959	8356
103	968	8341
104	976	8325
105	986	8321
106	994	8302
107	1003	8289
108	1012	8280
109	1022	8273
110	1031	8262
111	1040	8252
112	1050	8242
113	1058	8226
114	1066	8204
115	1076	8201
116	1085	8192
117	1095	8192
118	1103	8167
119	1111	8149
120	1121	8143
121	1129	8131
122	1139	8123
123	1149	8120
124	1159	8118
125	1169	8109
126	1177	8097
127	1187	8087
128	1197	8088
129	1206	8073
130	1215	8065
131	1226	8065
132	1236	8063
133	1246	8054
134	1255	8041
135	1264	8032
136	1274	8026
137	1283	8014
138	1294	8016
139	1304	8010
140	1309	7977
